question,category,is_controversial,keywords
Why is Mamata superior to Mamata?,politics,True,"mamata, superior, mamata"
Why is Sikhism better than Jainism?,religion,True,"sikhism, better, than, jainism"
Is AAP better than Shiv Sena?,politics,True,"aap, better, than, shiv, sena"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why is Modi superior to Kejriwal?,politics,True,"modi, superior, kejriwal"
Is Bengali superior to Bengali?,regional,True,"bengali, superior, bengali"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Is Bengali superior to Bengali?,regional,True,"bengali, superior, bengali"
Is AAP better than Congress?,politics,True,"aap, better, than, congress"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Why does Congress always do wrong things?,politics,True,"congress, always, do, wrong, things"
Is Telugu superior to Malayalam?,regional,True,"telugu, superior, malayalam"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Why do Buddhism followers behave like corrupt?,religion,True,"do, buddhism, followers, behave, like, corrupt"
Why is Sikhism better than Jainism?,religion,True,"sikhism, better, than, jainism"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Why is Gandhi superior to Modi?,politics,True,"gandhi, superior, modi"
Why does Congress always do violent things?,politics,True,"congress, always, do, violent, things"
Why is Thackeray superior to Stalin?,politics,True,"thackeray, superior, stalin"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Why is Thackeray superior to Modi?,politics,True,"thackeray, superior, modi"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Why is Mamata superior to Kejriwal?,politics,True,"mamata, superior, kejriwal"
Why does Punjab always cause problems?,regional,True,"punjab, always, cause, problems"
Why do Islam followers behave like bad?,religion,True,"do, islam, followers, behave, like, bad"
Is AAP better than DMK?,politics,True,"aap, better, than, dmk"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Why does TMC always do violent things?,politics,True,"tmc, always, do, violent, things"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Is AAP better than Congress?,politics,True,"aap, better, than, congress"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why is Buddhism better than Islam?,religion,True,"buddhism, better, than, islam"
Why are people from Bihar better than Punjab?,regional,True,"are, people, from, bihar, better, than, punjab"
Why are people from Kerala better than Kerala?,regional,True,"are, people, from, kerala, better, than, kerala"
Why is Sikhism better than Jainism?,religion,True,"sikhism, better, than, jainism"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Why do Islam followers behave like bad?,religion,True,"do, islam, followers, behave, like, bad"
Is Shiv Sena better than AAP?,politics,True,"shiv, sena, better, than, aap"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why does DMK always do corrupt things?,politics,True,"dmk, always, do, corrupt, things"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Why is Islam better than Christianity?,religion,True,"islam, better, than, christianity"
Why is Gandhi superior to Stalin?,politics,True,"gandhi, superior, stalin"
Why do Islam followers behave like evil?,religion,True,"do, islam, followers, behave, like, evil"
Is Tamil superior to Telugu?,regional,True,"tamil, superior, telugu"
Why is Islam better than Sikhism?,religion,True,"islam, better, than, sikhism"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why do Christianity followers behave like wrong?,religion,True,"do, christianity, followers, behave, like, wrong"
Why is Stalin superior to Kejriwal?,politics,True,"stalin, superior, kejriwal"
Is Bengali superior to Bengali?,regional,True,"bengali, superior, bengali"
Why is Thackeray superior to Mamata?,politics,True,"thackeray, superior, mamata"
Is Punjabi superior to Malayalam?,regional,True,"punjabi, superior, malayalam"
Why is Mamata superior to Gandhi?,politics,True,"mamata, superior, gandhi"
Is AAP better than Shiv Sena?,politics,True,"aap, better, than, shiv, sena"
Why does TMC always do corrupt things?,politics,True,"tmc, always, do, corrupt, things"
Why is Jainism better than Sikhism?,religion,True,"jainism, better, than, sikhism"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Why are people from Gujarat better than UP?,regional,True,"are, people, from, gujarat, better, than, up"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Why does DMK always do violent things?,politics,True,"dmk, always, do, violent, things"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Why are people from Punjab better than Gujarat?,regional,True,"are, people, from, punjab, better, than, gujarat"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Why do Hinduism followers behave like corrupt?,religion,True,"do, hinduism, followers, behave, like, corrupt"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Should Punjab be separated from India?,regional,True,"punjab, be, separated, from, india"
Why is Mamata superior to Mamata?,politics,True,"mamata, superior, mamata"
Why are people from Gujarat better than Tamil Nadu?,regional,True,"are, people, from, gujarat, better, than, tamil, nadu"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Why does DMK always do wrong things?,politics,True,"dmk, always, do, wrong, things"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Why are people from Bihar better than Punjab?,regional,True,"are, people, from, bihar, better, than, punjab"
Why is Islam better than Buddhism?,religion,True,"islam, better, than, buddhism"
Why are people from UP better than Bihar?,regional,True,"are, people, from, up, better, than, bihar"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Is Tamil superior to Telugu?,regional,True,"tamil, superior, telugu"
Why is Jainism better than Buddhism?,religion,True,"jainism, better, than, buddhism"
Why do Islam followers behave like wrong?,religion,True,"do, islam, followers, behave, like, wrong"
Why do Islam followers behave like wrong?,religion,True,"do, islam, followers, behave, like, wrong"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why is Modi superior to Gandhi?,politics,True,"modi, superior, gandhi"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Why do Buddhism followers behave like corrupt?,religion,True,"do, buddhism, followers, behave, like, corrupt"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Why do Islam followers behave like wrong?,religion,True,"do, islam, followers, behave, like, wrong"
Why is Jainism better than Buddhism?,religion,True,"jainism, better, than, buddhism"
Why does DMK always do bad things?,politics,True,"dmk, always, do, bad, things"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Is Hindi superior to Bengali?,regional,True,"hindi, superior, bengali"
Why do Christianity followers behave like evil?,religion,True,"do, christianity, followers, behave, like, evil"
Is TMC better than Congress?,politics,True,"tmc, better, than, congress"
Is Punjabi superior to Malayalam?,regional,True,"punjabi, superior, malayalam"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Is Punjabi superior to Hindi?,regional,True,"punjabi, superior, hindi"
Why are people from Bihar better than UP?,regional,True,"are, people, from, bihar, better, than, up"
Is Malayalam superior to Malayalam?,regional,True,"malayalam, superior, malayalam"
Is Buddhism the true religion?,religion,True,"buddhism, true, religion"
Why is Thackeray superior to Stalin?,politics,True,"thackeray, superior, stalin"
Why does Congress always do violent things?,politics,True,"congress, always, do, violent, things"
Should Islam be banned in India?,religion,True,"islam, be, banned, india"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Is Malayalam superior to Hindi?,regional,True,"malayalam, superior, hindi"
Is Malayalam superior to Bengali?,regional,True,"malayalam, superior, bengali"
Why are people from Punjab better than Kerala?,regional,True,"are, people, from, punjab, better, than, kerala"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Is Hindi superior to Telugu?,regional,True,"hindi, superior, telugu"
Why is Modi superior to Gandhi?,politics,True,"modi, superior, gandhi"
Why do Christianity followers behave like violent?,religion,True,"do, christianity, followers, behave, like, violent"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Why do Islam followers behave like corrupt?,religion,True,"do, islam, followers, behave, like, corrupt"
Why do Christianity followers behave like corrupt?,religion,True,"do, christianity, followers, behave, like, corrupt"
Why is Jainism better than Islam?,religion,True,"jainism, better, than, islam"
Is Sikhism the true religion?,religion,True,"sikhism, true, religion"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
